prefix_length,Architecture Type,count,mean,std,min,25%,50%,75%,max
0,Hierarchical ReLU,1.0,0.6921801613744932,,0.6921801613744932,0.6921801613744932,0.6921801613744932,0.6921801613744932,0.6921801613744932
0,Hierarchical TE,1.0,0.6938059491790776,,0.6938059491790776,0.6938059491790776,0.6938059491790776,0.6938059491790776,0.6938059491790776
0,Single ReLU,1.0,0.6927140620609369,,0.6927140620609369,0.6927140620609369,0.6927140620609369,0.6927140620609369,0.6927140620609369
0,Single TE,1.0,0.6952791939303922,,0.6952791939303922,0.6952791939303922,0.6952791939303922,0.6952791939303922,0.6952791939303922
0,Single biLSTM,1.0,0.6918710609770784,,0.6918710609770784,0.6918710609770784,0.6918710609770784,0.6918710609770784,0.6918710609770784
Lmax,Hierarchical ReLU,1.0,0.8621412227530006,,0.8621412227530006,0.8621412227530006,0.8621412227530006,0.8621412227530006,0.8621412227530006
Lmax,Hierarchical TE,1.0,0.8607241780739432,,0.8607241780739432,0.8607241780739432,0.8607241780739432,0.8607241780739432,0.8607241780739432
Lmax,Single ReLU,1.0,0.8600297057524788,,0.8600297057524788,0.8600297057524788,0.8600297057524788,0.8600297057524788,0.8600297057524788
Lmax,Single TE,1.0,0.8586367468186745,,0.8586367468186745,0.8586367468186745,0.8586367468186745,0.8586367468186745,0.8586367468186745
L̅,Hierarchical ReLU,1.0,0.8627232949299506,,0.8627232949299506,0.8627232949299506,0.8627232949299506,0.8627232949299506,0.8627232949299506
L̅,Hierarchical TE,1.0,0.8581991891132431,,0.8581991891132431,0.8581991891132431,0.8581991891132431,0.8581991891132431,0.8581991891132431
L̅,Single ReLU,1.0,0.8612460358877604,,0.8612460358877604,0.8612460358877604,0.8612460358877604,0.8612460358877604,0.8612460358877604
L̅,Single TE,1.0,0.8608245353458311,,0.8608245353458311,0.8608245353458311,0.8608245353458311,0.8608245353458311,0.8608245353458311
L̅,Single biLSTM,1.0,0.8621813656617558,,0.8621813656617558,0.8621813656617558,0.8621813656617558,0.8621813656617558,0.8621813656617558
L̅/ 2,Hierarchical ReLU,1.0,0.861133635743246,,0.861133635743246,0.861133635743246,0.861133635743246,0.861133635743246,0.861133635743246
L̅/ 2,Hierarchical TE,1.0,0.8591786760868693,,0.8591786760868693,0.8591786760868693,0.8591786760868693,0.8591786760868693,0.8591786760868693
L̅/ 2,Single ReLU,1.0,0.8593713620488941,,0.8593713620488941,0.8593713620488941,0.8593713620488941,0.8593713620488941,0.8593713620488941
L̅/ 2,Single TE,1.0,0.8597286339368151,,0.8597286339368151,0.8597286339368151,0.8597286339368151,0.8597286339368151,0.8597286339368151
L̅/ 2,Single biLSTM,1.0,0.8619525510818514,,0.8619525510818514,0.8619525510818514,0.8619525510818514,0.8619525510818514,0.8619525510818514
